aid,firstname,lastname,gender,birthdate,deathdate,birthplace,deathplace,nationality,eid,title,venue,startdate,type,paintings,country,city,latitude,longitude,age_at_exhibition,status_at_exhibition
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,691,Der Sturm. Sechsundzwanzigste Ausstellung. Marc Chagall,Der Sturm [venues],1914,group,3,DE,Berlin,52.516667,13.4,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,808,Der Sturm. Dreiundzwanzigste Ausstellung.,Der Sturm [venues],1914,group,1,DE,Berlin,52.516667,13.4,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,807,"Sammlung Walden. Gemälde, Zeichnungen, Plastiken",Der Sturm [venues],1915,group,3,DE,Berlin,52.516667,13.4,28,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,1101,Exposition d'Œuvres de Sculpture et de Peinture du Salon des Artistes Indépendants de Paris,Galerie Georges Giroux,1914,group,5,BE,Brussels,50.833333,4.333333,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,798,Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen,Der Sturm,1913,group,2,DE,Berlin,52.516667,13.4,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,588,Der Sturm. Siebzehnte Ausstellung. Alexandre Archipenko,Der Sturm,1913,solo,36,DE,Berlin,52.516667,13.4,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,691,Der Sturm. Sechsundzwanzigste Ausstellung. Marc Chagall,Der Sturm,1914,group,3,DE,Berlin,52.516667,13.4,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,591,Der Sturm. Erster Deutscher Herbstsalon,Der Sturm,1913,group,1,DE,Berlin,52.516667,13.4,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,808,Der Sturm. Dreiundzwanzigste Ausstellung.,Der Sturm,1914,group,1,DE,Berlin,52.516667,13.4,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,591,Der Sturm. Erster Deutscher Herbstsalon,Lepke-Räume,1913,group,1,DE,Berlin,52.516667,13.4,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,554,International Exhibition of Modern Art [Armory Show],Association of American Painters and Sculptors,1913,group,5,US,New York,40.7,-74,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,534,International Exhibition of Modern Art [Armory Show],Association of American Painters and Sculptors,1913,group,5,US,New York,40.7,-74,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,491,"Salon de la ""Section d'Or""",Galerie La Boëtie,1912,group,2,FR,Paris,48.866667,2.333333,25,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,554,International Exhibition of Modern Art [Armory Show],The Art Institute of Chicago,1913,group,5,US,Chicago,41.85,-87.65,26,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,798,Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen,Der Sturm,1913,group,5,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,591,Der Sturm. Erster Deutscher Herbstsalon,Der Sturm,1913,group,4,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,613,Der Sturm. Zwanzigste Ausstellung. Albert Bloch,Der Sturm,1913,group,1,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,550,Der Sturm. Fünfzehnte Ausstellung. Der Moderne Bund Schweiz,Der Sturm,1913,group,8,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,591,Der Sturm. Erster Deutscher Herbstsalon,Lepke-Räume,1913,group,4,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,595,Erste Ausstellung,Neue Galerie,1913,group,2,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,909,I. Ausstellung des Modernen Bundes,Der Moderne Bund,1911,group,14,CH,Weggis,47.03208,8.432192,25,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,549,V. Kollektiv-Ausstellung. Moderner Bund. Schweiz,Der Moderne Bund,1913,group,8,CH,Weggis,47.03208,8.432192,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,472,Moderner Bund. [II. Ausstellung],Der Moderne Bund,1912,group,20,CH,Weggis,47.03208,8.432192,26,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,422,Die zweite Ausstellung der Redaktion. Der Blaue Reiter. Schwarz-Weiss,Hans Goltz,1912,group,3,DE,Munich,48.15,11.583333,26,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,549,V. Kollektiv-Ausstellung. Moderner Bund. Schweiz,Hans Goltz,1913,group,8,DE,Munich,48.15,11.583333,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,485,Neue Kunst. Erste Gesamt-Ausstellung,Hans Goltz,1912,group,1,DE,Munich,48.15,11.583333,26,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,550,Der Sturm. Fünfzehnte Ausstellung. Der Moderne Bund Schweiz,Der Sturm [venues],1913,group,8,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,613,Der Sturm. Zwanzigste Ausstellung. Albert Bloch,Der Sturm [venues],1913,group,1,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,798,Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen,Der Sturm [venues],1913,group,5,DE,Berlin,52.516667,13.4,27,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,807,"Sammlung Walden. Gemälde, Zeichnungen, Plastiken",Der Sturm [venues],1915,group,2,DE,Berlin,52.516667,13.4,29,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,472,Moderner Bund. [II. Ausstellung],Kunsthaus Zürich,1912,group,20,CH,Zurich,47.366667,8.55,26,Alive
12,Hans,Arp,Male,1886,1966,Strasburg,Basel,France,909,I. Ausstellung des Modernen Bundes,Grand Hotel du Lac,1911,group,14,CH,Luzern,47.083333,8.266667,25,Alive
20,Willi,Baumeister,Male,1889,1955,Stuttgart,Stuttgart,Germany,591,Der Sturm. Erster Deutscher Herbstsalon,Der Sturm,1913,group,2,DE,Berlin,52.516667,13.4,24,Alive
20,Willi,Baumeister,Male,1889,1955,Stuttgart,Stuttgart,Germany,591,Der Sturm. Erster Deutscher Herbstsalon,Lepke-Räume,1913,group,2,DE,Berlin,52.516667,13.4,24,Alive
21,Aubrey Vincent,Beardsley,Male,1872,1898,Brighton,Menton,United Kingdom,198,"Akvarellek, pasztellek és grafikai művek nemzetközi kiállitása",Műcsarnok,1909,group,4,HU,Budapest,47.5,19.05,26,Dead
21,Aubrey Vincent,Beardsley,Male,1872,1898,Brighton,Menton,United Kingdom,198,"Akvarellek, pasztellek és grafikai művek nemzetközi kiállitása",Országos Magyar Képzőművészeti Társulat,1909,group,4,HU,Budapest,47.5,19.05,26,Dead
21,Aubrey Vincent,Beardsley,Male,1872,1898,Brighton,Menton,United Kingdom,133,"Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste",Paul Cassirer,1907,group,2,DE,Berlin,52.516667,13.4,26,Dead
21,Aubrey Vincent,Beardsley,Male,1872,1898,Brighton,Menton,United Kingdom,133,"Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste",Berliner Secession,1907,group,2,DE,Berlin,52.516667,13.4,26,Dead
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,322,Einundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1910,group,13,DE,Berlin,52.516667,13.4,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,956,[IX. Jahrgang. III. Ausstellung. Schwarz-Weiss Ausstellung der Berliner Secession],Berliner Secession,1906,group,6,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,154,Fünfzehnte Ausstellung der Berliner Secession,Berliner Secession,1908,group,4,DE,Berlin,52.516667,13.4,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,493,Fünfundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1912,group,15,DE,Berlin,52.516667,13.4,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,186,Sechzehnte Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1908,group,11,DE,Berlin,52.516667,13.4,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,553,XXVI. Ausstellung der Berliner Secession,Berliner Secession,1913,group,3,DE,Berlin,52.516667,13.4,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,349,XXII. Ausstellung der Berliner Secession,Berliner Secession,1911,group,3,DE,Berlin,52.516667,13.4,27,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,96,Dreizehnte Ausstellung der Berliner Secession,Berliner Secession,1907,group,4,DE,Berlin,52.516667,13.4,23,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,570,LIA. Leipziger Jahresausstellung 1913,Gelände der Internationalen Baufach-Ausstellung,1913,group,3,DE,Leipzig,51.3333,12.4167,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,596,Eröffnungsausstellung. Kölnischer Kunstverein,Gemäldegalerie des Kölnischen Kunstvereins,1913,group,2,DE,Cologne,50.933333,6.95,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,65,Dritte Ausstellung des Deutschen Künstlerbundes,Großherzogliches Museum für Kunst und Kunstgewerbe,1906,group,1,DE,Weimar,50.983333,11.316667,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,478,Gemälde von Max Beckmann in Berlin,Großherzogliches Museum für Kunst und Kunstgewerbe,1912,solo,28,DE,Weimar,50.983333,11.316667,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,957,Frühjahr-Ausstellung der Münchener Secession,Königliches Kunstausstellungsgebäude am Königsplatz,1910,group,3,DE,Munich,48.15,11.583333,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,689,Kunstausstellung der Münchener Secession,Königliches Kunstausstellungsgebäude am Königsplatz,1914,group,3,DE,Munich,48.15,11.583333,30,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,447,Stedelijke Internationale Tentoonstelling Van Kunstwerken Van Levende Meesters,Stedelijk Museum,1912,group,3,NL,Amsterdam,52.35,4.916667,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,464,Porträt-Ausstellung (Werke zeitgenössischer Deutscher Maler),Wallraf-Richartz-Museum,1912,group,1,DE,Cologne,50.933333,6.95,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,75,Zwölfte Kunstausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1906,group,6,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,52,Elfte Ausstellung der Berliner Secession,Berliner Secession,1906,group,2,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,280,Zwanzigste Ausstellung der Berliner Secession,Berliner Secession,1910,group,3,DE,Berlin,52.516667,13.4,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,388,Dreiundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1911,group,10,DE,Berlin,52.516667,13.4,27,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,438,XXIV. Ausstellung der Berliner Secession,Berliner Secession,1912,group,3,DE,Berlin,52.516667,13.4,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,211,Achtzehnte Ausstellung der Berliner Secession,Berliner Secession,1909,group,4,DE,Berlin,52.516667,13.4,25,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,245,Neunzehnte Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1909,group,15,DE,Berlin,52.516667,13.4,25,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,596,Eröffnungsausstellung. Kölnischer Kunstverein,Kölnischer Kunstverein,1913,group,2,DE,Cologne,50.933333,6.95,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,464,Porträt-Ausstellung (Werke zeitgenössischer Deutscher Maler),Kölnischer Kunstverein,1912,group,1,DE,Cologne,50.933333,6.95,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,388,Dreiundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1911,group,10,DE,Berlin,52.516667,13.4,27,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,666,Erste Ausstellung der Freien Secession Berlin,Ausstellungshaus am Kurfürstendamm 208/9,1914,group,3,DE,Berlin,52.516667,13.4,30,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,553,XXVI. Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1913,group,3,DE,Berlin,52.516667,13.4,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,96,Dreizehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1907,group,4,DE,Berlin,52.516667,13.4,23,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,438,XXIV. Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1912,group,3,DE,Berlin,52.516667,13.4,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,154,Fünfzehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1908,group,4,DE,Berlin,52.516667,13.4,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,52,Elfte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1906,group,2,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,211,Achtzehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1909,group,4,DE,Berlin,52.516667,13.4,25,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,690,Neue Münchener Secession. Erste Ausstellung,Galerienstraße 26,1914,group,2,DE,Munich,48.15,11.583333,30,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,968,Ausstellung des Deutschen Künstlerbundes Darmstadt,Städtisches Ausstellungsgebäude auf der Mathildenhöhe,1910,group,2,DE,Darmstadt,49.870556,8.649444,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,645,Internationale Ausstellung in der Kunsthalle Bremen,Kunsthalle Bremen,1914,group,2,DE,Bremen,53.083333,8.8,30,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,75,Zwölfte Kunstausstellung der Berliner Secession. Zeichnende Künste,Paul Cassirer,1906,group,6,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,956,[IX. Jahrgang. III. Ausstellung. Schwarz-Weiss Ausstellung der Berliner Secession],Paul Cassirer,1906,group,6,DE,Berlin,52.516667,13.4,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,977,"X. Jahrgang. 1907/1908. V. Ausstellung. [Kollektionen Max Beckmann, Eduard R. Butler, Lovis Corinth, Georg Kolbe, Emil Nolde, Fritz Rhein, Wilhelm Schocken]",Paul Cassirer,1908,group,14,DE,Berlin,52.516667,13.4,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,518,XV. Jahrgang. 1912-13. Vierte Ausstellung,Paul Cassirer,1913,group,47,DE,Berlin,52.516667,13.4,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,487,XV. Jahrgang. 1912-13. Erste Ausstellung. [Galerie-Ausstellung],Paul Cassirer,1912,group,2,DE,Berlin,52.516667,13.4,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,698,XVI. Jahrgang. 1914. Sommer-Ausstellung,Paul Cassirer,1914,group,1,DE,Berlin,52.516667,13.4,30,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,962,IX. Jahrgang. Winter 1906/07. IV. Ausstellung. [Kollektionen von Max Beckmann und Georg Minne],Paul Cassirer,1907,group,25,DE,Berlin,52.516667,13.4,23,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,911,"[XII. Jahrgang. VI. Ausstellung]. [Kollektionen Max Beckmann, Theo von Brockhusen, Richard Dreher, Ferdinand Hodler, Heinrich Nauen, Julie Wolfthorn]",Paul Cassirer,1910,group,20,DE,Berlin,52.516667,13.4,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,573,Ausstellung des Deutschen Künstlerbundes 1913,Kunsthalle Mannheim,1913,group,3,DE,Mannheim,49.488333,8.464722,29,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,117,Deutsch-Nationale Kunst-Ausstellung,Städtischer Kunstpalast,1907,group,1,DE,Dusseldorf,51.216667,6.766667,23,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,968,Ausstellung des Deutschen Künstlerbundes Darmstadt,Deutscher Künstlerbund,1910,group,2,DE,-,51.5,10.5,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,65,Dritte Ausstellung des Deutschen Künstlerbundes,Deutscher Künstlerbund,1906,group,1,DE,-,51.5,10.5,22,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,424,Deutscher Künstlerbund. Grosse Ausstellung,Deutscher Künstlerbund,1912,group,1,DE,-,51.5,10.5,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,444,Maler und Bildhauer der Berliner Sezession,Galerie Miethke,1912,group,4,AT,Vienna,48.2167,16.3667,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,424,Deutscher Künstlerbund. Grosse Ausstellung,Kunsthalle Bremen,1912,group,1,DE,Bremen,53.083333,8.8,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,148,Deutsche Kunstausstellung Bremen,Kunsthalle Bremen,1908,group,2,DE,Bremen,53.083333,8.8,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,280,Zwanzigste Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1910,group,3,DE,Berlin,52.516667,13.4,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,322,Einundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1910,group,13,DE,Berlin,52.516667,13.4,26,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,349,XXII. Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1911,group,3,DE,Berlin,52.516667,13.4,27,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,493,Fünfundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1912,group,15,DE,Berlin,52.516667,13.4,28,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,245,Neunzehnte Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1909,group,15,DE,Berlin,52.516667,13.4,25,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,186,Sechzehnte Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1908,group,11,DE,Berlin,52.516667,13.4,24,Alive
23,Max,Beckmann,Male,1884,1950,Leipzig,New York,Germany,570,LIA. Leipziger Jahresausstellung 1913,Verein Leipziger Jahres-Ausstellung,1913,group,3,DE,Leipzig,51.3333,12.4167,29,Alive
24,Vanessa,Bell,Female,1879,1961,Kensington,West Sussex,United Kingdom,230,Forty-First Exhibition of Modern Pictures. New English Art Club,Galleries of the Royal Society of British Artists,1909,group,1,GB,London,51.514248,-0.093145,30,Alive
25,George Wesley,Bellows,Male,1882,1925,"Columbus, Ohio",New York,United States,296,Fourteenth Annual Exhibition,Carnegie Institute,1910,group,2,US,Pittsburgh,40.4333,-79.9833,28,Alive
25,George Wesley,Bellows,Male,1882,1925,"Columbus, Ohio",New York,United States,223,VIII. Esposizione d'Arte della Città di Venezia,Giardini Pubblici,1909,group,1,IT,Venice,45.438611,12.326667,27,Alive
25,George Wesley,Bellows,Male,1882,1925,"Columbus, Ohio",New York,United States,454,Sixteenth Annual Exhibition,Carnegie Institute,1912,group,1,US,Pittsburgh,40.4333,-79.9833,30,Alive
